date,hour_star,price_sterling,price_dollar
11/12/2017,23,48.98,64.1638
11/12/2017,0,52.05,68.1855
11/12/2017,1,48.53,63.5743
11/12/2017,2,46.82,61.3342
11/12/2017,3,46.03,60.2993
11/12/2017,4,45.48,59.5788
11/12/2017,5,45.06,59.0286
11/12/2017,6,55.63,72.8753
11/12/2017,7,58.68,76.8708
11/12/2017,8,65.55,85.8705
11/12/2017,9,65.55,85.8705
11/12/2017,10,67.71,88.7001
11/12/2017,11,61.58,80.6698
11/12/2017,12,59.67,78.1677
11/12/2017,13,49.69,65.0939
11/12/2017,14,48.57,63.6267
11/12/2017,15,54.94,71.9714
11/12/2017,16,76.72,100.5032
11/12/2017,17,86.27,113.0137
11/12/2017,18,69.66,91.2546
11/12/2017,19,64.12,83.9972
11/12/2017,20,52.95,69.3645
11/12/2017,21,49.18,64.4258
11/12/2017,22,48.49,63.5219
